,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,oe_constraint,potential_issue,deck_risk,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
2,-0.07288739364582011,-0.882903057306593,-0.09100878835786193,-0.04540619329328803,-0.04117159284639477,-0.03967498170909828,-0.03678910822101074,-0.03433142181386231,-0.03472548476058341,-0.034221062784772285,-0.051040175523124544,-0.0451243085313366,0.16103909949414028,0.1507026332429156,-0.05060851544042094,0.018819969800248457,1,1,1,0,1,0
3,-0.07150453125360401,0.15964974104317534,-0.09100878835786193,-0.044815427127279046,-0.04033920225432321,-0.03856244178618239,-0.03619342000207681,-0.034166177126963695,-0.034640606994034116,-0.03416540944041877,-0.051040175523124544,-0.0451243085313366,0.16103909949414028,0.1507026332429156,-0.05060851544042094,0.018819969800248457,1,1,1,0,1,0
4,-0.07288739364582011,0.15964974104317534,-0.09100878835786193,-0.04498421746042447,-0.04088025613916972,-0.039424660226442206,-0.03678910822101074,-0.03433142181386231,-0.03472548476058341,-0.034221062784772285,-0.05056151040099934,-0.0451243085313366,0.17679909811290226,0.16495865152764694,-0.05060851544042094,0.018819969800248457,1,1,1,0,1,0
5,-0.07288739364582011,-0.5353854578566702,-0.09100878835786193,-0.04489982229385176,-0.04104673425758403,-0.03959154121487959,-0.03678910822101074,-0.03433142181386231,-0.03472548476058341,-0.034221062784772285,-0.051040175523124544,-0.0451243085313366,0.152843900212384,0.14730834317512242,-0.05060851544042094,0.018819969800248457,1,0,1,0,1,0
6,-0.07288739364582011,0.15964974104317534,-0.09100878835786193,-0.04557498362643345,-0.04133807096480908,-0.03975842220331697,-0.03678910822101074,-0.034248799470413004,-0.034640606994034116,-0.03416540944041877,-0.05056151040099934,-0.0451243085313366,0.15221350026763353,0.14730834317512242,-0.05060851544042094,0.018819969800248457,1,1,1,0,1,0
7,-0.07288739364582011,0.15964974104317534,-0.09100878835786193,-0.04388708029497921,-0.039631670251062394,-0.03820086631123473,-0.03678910822101074,-0.03433142181386231,-0.03472548476058341,-0.034221062784772285,-0.05056151040099934,-0.0451243085313366,0.1692342987758965,0.16292207748697105,-0.05060851544042094,0.018819969800248457,1,1,1,0,1,0
8,-0.07288739364582011,-0.882903057306593,-0.09100878835786193,-0.044393451294415485,-0.04079701707996257,-0.039424660226442206,-0.03410851123580805,-0.0325963526014268,-0.033282562729245437,-0.033219302586409004,-0.051040175523124544,-0.0451243085313366,0.17805989800240318,0.16631636755476423,-0.05060851544042094,0.018819969800248457,1,1,1,0,1,0
9,-0.07229473833487035,0.15964974104317534,-0.09100878835786193,-0.04363389479526107,-0.03983976789908029,-0.03839556079774501,-0.03351282301687411,-0.03251373025797749,-0.03319768496269614,-0.03280190250375764,-0.051040175523124544,-0.0451243085313366,0.14906150054388112,0.13984090502597743,-0.05060851544042094,0.018819969800248457,1,1,1,0,1,0
10,-0.07288739364582011,-1.230420656756516,-0.09100878835786193,-0.04523740296014261,-0.04108835378718761,-0.03953591421873379,-0.03649126411154378,-0.03408355478351439,-0.03442841257766089,-0.033998449407358224,-0.05008284527887414,-0.0451243085313366,0.11691110336160665,0.10114599825313521,-0.05060851544042094,0.018819969800248457,1,1,1,1,1,0
11,-0.07288739364582011,-0.882903057306593,-0.09100878835786193,-0.045490588459860745,-0.04133807096480908,-0.039786235701389866,-0.03678910822101074,-0.03433142181386231,-0.03472548476058341,-0.034221062784772285,-0.051040175523124544,-0.0451243085313366,0.14023590131737443,0.12422717071412882,-0.05060851544042094,0.018819969800248457,1,1,1,0,1,0
